


Company,Contacts,URL,"Company Description",Round,Date,Amount,"Round Investors","All Investors","Total Funding",Sector,Industry,Sub-Industry,Country,State,City
HackerRank,33,http://www.hackerrank.com,"HackerRank, formerly Interviewstreet, is a free platform to solve programming challenges for fun, education, prizes and jobs. HackerRankX, previously known as Interviewstreet, is a technical interviewing platform created by the HackerRank team that streamlines the process from phone interview to on-site interview saving on average, 80 developer hours for every hire made.","Series A",2012-01-01,3,"Khosla Ventures","Battery Ventures;Chartline Capital Partners;JMI Equity;Khosla Ventures;Morpheus Venture Partners;Randstad Innovation Fund;Recruit Strategic Partners;Undisclosed Angel Investors;Undisclosed Investors;Y Combinator",54.02,Internet,"Internet Software & Services","HR & Workforce Management","United States",California,"Palo Alto"
WorldDesk,,http://www.myworlddesk.com,"WorldDesk leverages a unique, abstraction layer that frees all aspects of a user's Microsoft Windows workspace from the underlying OS and device. This technology allows the free movement of apps, files and profile between devices. The company's mission is to deliver personalised mobile computing solutions based around your devices, the cloud and VMWare and Citrix platforms.","Series A",2011-12-23,,"Lough Shore Investments","DeskStream;Lough Shore Investments",1.25,Internet,"Internet Software & Services","Browser Software/Plugins","United States",California,"Menlo Park"
FarmLink,,http://www.farmlink.com,"FarmLink, formerly MachineryLink, offers a set of services to help farmers improve productivity and profitability. Farmlink operates the largest combine leasing fleet in the United States, under the MachineryLink brand, bringing farmers the opportunity to use the most modern technology to harvest crops at a lower cost than owning the machinery. Through its TrueHarvest yield benchmarking service, FarmLink brings to farmers the science of benchmarking, which both identifies the potential productivity of land as well as the ability to measure the success of any farming practice, including the promising new prescriptive farming services offered by many leading agricultural companies. Farmers and their advisors can access TrueHarvest yield benchmark services anywhere, anytime, allowing them to see precise, detailed and actionable comparisons, and use that knowledge to make the best planting, spraying and overall productivity plan for their land. FarmLink's data science, agronomy and benchmarking experts have developed an innovative pipeline of services, including the TrueHarvest yield benchmarking service, to cost effectively support grower profitability and productivity.","Series A - II",2011-12-22,10,"OpenAir Equity Partners","Adams Street Partners;Alpha Capital Partners;Dead;Don Walsworth;Early Investments;John Rose;October Capital;OpenAir Equity Partners;River Cities Capital Fund;Saints Capital;Thorndale Farm",150.48,Internet,"Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","United States",Missouri,"Kansas City"
Spendsetter,1,http://www.spendsetter.com,"Spendsetter, formerly Moontoast, is looking to change the way companies communicate with and engage both customers and employees. The company's solution and dedicated team of experts specialize in helping to identify, engage, and retain your most passionate believers.","Series A",2011-12-21,6,"Martin Ventures;Stephen Collins","Jumpstart Foundry;Martin Ventures;Stephen Collins",18,Internet,"Internet Software & Services","Advertising, Sales & Marketing","United States",Tennessee,Nashville
UsingMiles,,http://www.usingmiles.com,"UsingMiles (UM) offers a miles management solution that allows users to manage their air and hotel loyalty programs and book cash and award travel. UsingMiles protects member's miles, points and reward credits against expiration. More importantly, UM provides tools to help members earn more rewards and find efficient way to spend them, like a secondary currency.","Series A - II",2011-12-21,0.3,"iSherpa Capital","Brett Jackson;Fabrice Grinda;iSherpa Capital;Jon Nordmark;Techstars;TMT Investments",3.52,Internet,eCommerce,"Travel (internet)","United States",Colorado,Denver
SurDoc,1,http://www.surdoc.com,"SurDoc focuses on PC backup and cloud-sharing of documents. Based on the OASIS UOML, textual and image data from any source, word processing, spreadsheet, presentations, can be viewed, shared, annotated and digitally signed using and modern Web browser. SurDoc offers free data backup to its users.","Series A",2011-12-21,4,"Ridge Ventures","Ridge Ventures",4,Internet,"Internet Software & Services","Data Storage","United States",California,"Menlo Park"
BestVendor,1,http://www.bestvendor.com,"BestVendor helps SMB business leaders make purchasing decisions through social recommendations about work applications (apps). The company's initial product is a give-to-get community in which users share and rate a few of their favorite work apps. Users can see what everyone else uses and recommends and get personalized recommendations based on their job function and tastes with the aim of finding the best resources for specific needs whether they be accounting to wireframing.","Series A",2011-12-20,3,"BoxGroup;David Frankel;Old Willow Partners;RRE Ventures;Social Starts;Softbank Capital","BoxGroup;David Frankel;DocStoc;Lerer Hippeau Ventures;NYU Future Labs;Old Willow Partners;Peter Thiel;RRE Ventures;Social Starts;Softbank Capital;SV Angel;Undisclosed Venture Investors",3.9,Internet,eCommerce,"B2B Commerce","United States","New York","New York"
AppsSavvy,,http://www.appssavvy.com,"AppsSavvy aims to bring developers and brands together via a marketing solution they are developing that taps into social media.","Series A - II",2011-12-20,7.1,"AOL Ventures;Scott Kurnit;Social Leverage;Social Starts;The New York Times Company;True Ventures","AOL Ventures;Howard Lindzon;Scott Kurnit;Social Leverage;Social Starts;The New York Times Company;True Ventures",10.25,Internet,"Internet Software & Services","Advertising Network or Exchange","United States","New York","New York"
LogoGarden.com,21,http://www.logogarden.com,"LogoGarden is an online platform providing do-it-yourself logo design and branding essentials including website, business cards, and mobile websites for startup companies. Branding essentials include logos, websites, business card designs and mobile websites. Custom design services include logos, brochures, postcards and other print materials, plus search engine optimization (SEO) and social media marketing.","Series A",2011-12-20,2,"FCA Venture Partners","FCA Venture Partners",2,Internet,"Internet Software & Services","Advertising, Sales & Marketing","United States",Delaware,Wilmington
"InContext Solutions",61,http://www.incontextsolutions.com,"InContext Solutions is the global leader in scalable web-based virtual reality (VR) shopper and retail solutions, dedicated to providing decision-critical insights powered by 3D virtual shopping simulations. In a time when brick-and-mortar stores are being challenged by the rapidly evolving world of e-commerce, we have revolutionized the way companies understand shopper behavior.  Founded in 2009, the company provides a unique, in-depth perspective on what consumers see on the shelf, how this drives their purchase behavior, and why. Its virtual solutions are powered by ShopperMX--the world's first cloud-based virtual reality simulation and shopper insights platform that enables users to create and test new shopper experiences in hyper realistic 3D virtual store simulations. InContext Solutions provides Retail Simulations for ideation, creation and modification of new in-store concepts; Shopper Intelligence tools to evaluate and generate insights by testing ideas before you invest; and In-Store Activation tools to gain buy-in, stand out from the competition with hi-impact visuals, and seamlessly activate concepts in-store. InContext enables enterprise-wide collaboration by taking a holistic approach to CPG and retail challenges, and provides the solutions and insights needed to make faster, smarter, more profitable business decisions.","Series A",2011-12-20,1.5,"AMD Ventures;Hyde Park Angels;Hyde Park Venture Partners","AMD Ventures;Beringea;Hyde Park Angels;Hyde Park Venture Partners;Intel Capital;Plymouth Growth Partners ;Undisclosed Investors",46.09,Internet,"Internet Software & Services","Multimedia & Graphics","United States",Illinois,Chicago
