


Company,Contacts,URL,"Company Description",Round,Date,Amount,"Round Investors","All Investors","Total Funding",Sector,Industry,Sub-Industry,Country,State,City
"Tabula Rasa Healthcare",23,http://www.tabularasahealthcare.com,"Tabula Rasa HealthCare (TRHC), formerly CareKinesis, provides patient-specific, data-driven technology and solutions that enable healthcare organizations to optimize medication regimens to improve patient outcomes, reduce hospitalizations, lower healthcare costs and manage risk. Medication risk management is TRHC's best offering, and its cloud-based software applications, including EireneRx and MedWise Advisor, provide solutions for a range of payers, providers and other healthcare organizations.","Series A - II",2011-09-14,1.5,"Undisclosed Investors","Eastward Capital Partners;Originate Ventures;Public;Radius Ventures;Rittenhouse Ventures;Undisclosed Investors",26,Internet,"Internet Software & Services",Healthcare,"United States","New Jersey",Moorestown
Domo,341,http://www.domo.com,"Domo is a SaaS-based business intelligence platform, offering a way for executives to manage businesses. The Executive Management Platform combines a backend that sits on top of and connects into any existing system where data lives, including those for customer relationship management, enterprise resource planning, human resources and financials, as well as any data repository or current reporting system. The platform delivers real-time intelligence from all those sources into one browser-based view, accessible across any device, including mobile platforms such as the iPhone, iPad, Blackberry and Android. Domo's back-end scales to thousands of concurrent users, and provides the security and reliability that makes it ideal for enterprise-wide deployments. At the same time, Domo is simple enough for small business.","Series A",2011-07-14,33,"Andreessen Horowitz;Benchmark;David Lee;Hummer Winblad Venture Partners;SV Angel","Alumni Ventures Group;Andreessen Horowitz;Aneel Bhusri;Benchmark;Bezos Expeditions;BlackRock;Canyon Partners;Capital Group Companies;Credit Suisse;Dan Rose;David Duffield;David Lee;Dragoneer Investment Group;Fidelity Investments;Founders Fund;GGV Capital;Glynn Capital Management;Greylock Partners;Hiroshi Mikitani;Hummer Winblad Venture Partners;Institutional Venture Partners;John Pestana;John Thompson;Lars Dalgaard;Marc Benioff;Mark Gorenberg;Mercato Partners;Meritech Capital Partners;Morgan Stanley;Paul Sagan;Public;S. Steven Singh;Salesforce Ventures;Sharespost;Sorenson Capital;SV Angel;T. Rowe Price;TPG Growth;Undisclosed Investors;Viking Global Investors;WPP;Zetta Venture Partners",698.16,Internet,"Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","United States",Utah,"American Fork"
Wayfair,928,http://www.wayfair.com,"Wayfair, formerly CSN Stores, is an online catalog of furniture, lighting, cookware and more. With a selection of more than five million products, people can find just the right items for homes. Other sites under the Wayfair.com umbrella include AllModern.com and JossAndMain.com. Wayfair.com operates distribution and operations centers in Ogden, Utah and Hebron, Kentucky, and international offices in Galway, Ireland, London, Berlin and Sydney.","Series A",2011-06-21,165,"Battery Ventures;Great Hill Partners;HarbourVest Partners;Spark Capital","Battery Ventures;Great Hill Partners;HarbourVest Partners;Julie M.B. Bradley;Lead Edge Capital;Public;Spark Capital;T. Rowe Price",358.3,Internet,eCommerce,"Home Furnishings & Improvement","United States",Massachusetts,Boston
"Funding Circle",87,http://www.fundingcircle.com,"Funding Circle is a direct lending platform for business loans, where investors lend directly to creditworthy small businesses. The company helps businesses to access fast, flexible, transparent and personalized finance and investors to earn stable, attractive returns.","Series A",2011-04-21,4.14,"Index Ventures;Undisclosed Investors","Accel;Baillie Gifford & Co.;BlackRock;CreditEase Fintech Investment Fund;DST Global;Heartland;Index Ventures;Nesta Open Up Challenge;Public;Ribbit Capital;Rocket Internet;Sands Capital;Temasek Holdings;Undisclosed Investors;Union Square Ventures",373.37,Internet,eCommerce,Marketplace,"United States",California,"San Francisco"
Alteryx,187,http://www.alteryx.com,"Alteryx is a provider of self-service data analytics software. The company's software platform enables organizations to dramatically improve business outcomes and the productivity of their business analysts. Alteryx's subscription-based platform allows organizations to easily prepare, blend, and analyze data from a multitude of sources and more quickly benefit from data-driven decisions. The ease-of-use, speed, and sophistication that the Alteryx platform provides is enhanced through intuitive and highly repeatable visual workflows.","Series A",2011-04-05,6,"Sapphire Ventures","ICONIQ Capital;Insight Venture Partners;Meritech Capital Partners;Public;Sapphire Ventures;Toba Capital",163,Internet,"Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","United States",California,Irvine
"Tabula Rasa Healthcare",23,http://www.tabularasahealthcare.com,"Tabula Rasa HealthCare (TRHC), formerly CareKinesis, provides patient-specific, data-driven technology and solutions that enable healthcare organizations to optimize medication regimens to improve patient outcomes, reduce hospitalizations, lower healthcare costs and manage risk. Medication risk management is TRHC's best offering, and its cloud-based software applications, including EireneRx and MedWise Advisor, provide solutions for a range of payers, providers and other healthcare organizations.","Series A",2011-03-02,1.5,"Undisclosed Investors","Eastward Capital Partners;Originate Ventures;Public;Radius Ventures;Rittenhouse Ventures;Undisclosed Investors",26,Internet,"Internet Software & Services",Healthcare,"United States","New Jersey",Moorestown
"Upland Software",,http://www.uplandsoftware.com,"Upland Software (NASDAQ: UPLD) is a provider of cloud-based Enterprise Work Management software. Its family of applications enables users to manage their projects, professional workforce, and IT investments; automate document-intensive business processes; and effectively engage with their customers, prospects, and community via the web and mobile technologies.","Series A",2010-11-11,11.55,"Austin Ventures","Activant Capital Group;Austin Ventures;Public",26.55,Internet,"Internet Software & Services","Collaboration & Project Management","United States",Texas,Austin
Okta,300,http://www.okta.com,"Okta, fka SaaSure, is an integrated identity management and mobility management service that securely and simply connects people to their applications from any device, anywhere, at any time. Okta gives Enterprise IT teams the ability to improve the end-user experience, while achieving the management control necessary to accelerate the secure adoption of cloud and mobile technologies. The result is greater employee and partner productivity, increased revenue and supply chain efficiency, and improved compliance.","Series A",2010-07-09,10,"Andreessen Horowitz;Floodgate;SV Angel","Altimeter Capital;Andreessen Horowitz;Avid Larizadeh;Dharmesh Shah;Ed Roberts;Floodgate;Glynn Capital Management;Greylock Partners;Janus Capital Group;Khosla Ventures;Maynard Webb;Public;Sequoia Capital;Stephen Marcus;SV Angel;Tom Berson;Undisclosed Venture Investors;Webb Investment Network",229.25,Internet,"Internet Software & Services","Monitoring & Security","United States",California,"San Francisco"
SendGrid,170,http://www.sendgrid.com,"SendGrid has developed a cloud based service that solves the challenge of email delivery by delivering emails on behalf of companies. SendGrid eliminates the complexity of sending email, saving time and money, while providing reliable delivery to the inbox. With over a decade of thought-leadership backed by a stellar record of delivering email, SendGrid is climbing to new heights.","Series A - II",2010-04-23,5,"500 Startups;David Cohen;Foundry Group;Highway 12 Ventures;Matt Mullenweg;Scott Petry;Uncork Capital","500 Startups;Bain Capital Ventures;Bessemer Venture Partners;David Cohen;FF Angel;Founders Fund;Foundry Group;Highway 12 Ventures;Matt Mullenweg;Public;Scott Petry;Techstars;Techstars Ventures;Uncork Capital;Undisclosed Angel Investors;Undisclosed Investors",81.59,Internet,"Internet Software & Services",Email,"United States",Colorado,Denver
Instructure,215,http://www.instructure.com,"Instructure is a technology company committed to improving education. The company provides instructors and students with modern tools and resources that empower and simplify the learning experience. Instructure offers Canvas, the open, easy-to-use, cloud-native learning management system, as well as Canvas Network, an index of open, online courses by educators everywhere - from Ivy League institutions to community colleges.","Series A",2010-01-01,1.5,"Undisclosed Investors","Bessemer Venture Partners;Epic Ventures;Insight Venture Partners;OpenView Venture Partners;Public;Tim Draper;TomorrowVentures;Undisclosed Investors",89.5,Internet,"Internet Software & Services","Education & Training","United States",Utah,"Salt Lake City"
